,close,high,low,open,volume
1605194100,356.05,356.14,355.96,356.1,804
1605194160,356.21,356.24,356.04,356.06,653
1605194220,356.14,356.21,356.01,356.2,1024
1605194280,356.08,356.18,356.02,356.14,723
1605194340,356.05,356.14,356.01,356.06,880
1605194400,356.02,356.14,355.99,356.05,694
1605194460,356.0,356.1,355.91,356.03,998
1605194520,355.93,356.14,355.86,356.0,1002
1605194580,355.84,356.03,355.76,355.93,1010
1605194640,355.48,355.89,355.36,355.84,1746
1605194700,355.53,355.67,355.47,355.47,898
1605194760,355.33,355.69,355.32,355.53,1035
1605194820,355.24,355.36,355.21,355.34,796
1605194880,355.3,355.38,355.16,355.23,1509
1605194940,355.36,355.43,355.26,355.34,596
1605195000,355.56,355.58,355.27,355.35,1043
1605195060,355.64,355.68,355.56,355.57,521
1605195120,355.58,355.67,355.55,355.64,478
1605195180,355.56,355.61,355.5,355.59,482
1605195240,355.53,355.62,355.51,355.54,378
1605195300,355.62,355.63,355.49,355.53,483
1605195360,355.67,355.68,355.57,355.61,485
1605195420,355.87,355.91,355.67,355.67,1851
1605195480,355.94,355.96,355.82,355.88,1035
1605195540,355.92,355.98,355.87,355.92,874
1605195600,356.06,356.1,355.89,355.93,698
1605195660,356.2,356.24,355.96,356.04,1156
1605195720,356.2,356.36,356.2,356.2,757
1605195780,356.28,356.34,356.17,356.21,698
1605195840,356.31,356.33,356.23,356.28,758
1605195900,356.29,356.39,356.28,356.28,932
1605195960,356.02,356.32,356.01,356.3,1058
1605196020,356.0,356.02,355.91,356.02,495
1605196080,355.97,356.08,355.96,356.01,362
1605196140,356.03,356.04,355.96,355.97,294
1605196200,355.96,356.04,355.96,356.03,349
1605196260,355.96,356.03,355.92,355.96,347
1605196320,355.89,355.96,355.84,355.93,777
1605196380,355.95,355.98,355.86,355.89,506
1605196440,356.1,356.11,355.86,355.96,705
1605196500,356.24,356.26,356.07,356.08,616
1605196560,356.15,356.22,356.08,356.22,356
1605196620,356.07,356.15,356.0,356.15,384
1605196680,356.08,356.11,355.97,356.04,352
1605196740,356.0,356.15,355.99,356.06,508
1605196800,355.99,356.09,355.91,356.01,561
1605196860,355.96,356.01,355.88,355.99,520
1605196920,356.13,356.19,355.91,355.98,589
1605196980,356.06,356.13,355.98,356.12,548
1605197040,356.15,356.22,356.04,356.07,406
1605197100,356.38,356.42,356.1,356.16,1199
1605197160,356.31,356.39,356.27,356.38,427
1605197220,356.3,356.38,356.27,356.32,743
1605197280,356.22,356.33,356.2,356.29,471
1605197340,356.27,356.32,356.22,356.23,469
1605197400,355.96,356.32,355.95,356.27,922
1605197460,356.03,356.04,355.78,355.96,1752
1605197520,356.0,356.05,355.98,356.03,538
1605197580,355.9,356.03,355.87,356.01,432
1605197640,355.84,355.9,355.81,355.9,663
1605197700,355.79,355.87,355.69,355.84,910
1605197760,355.71,355.81,355.69,355.79,454
1605197820,355.69,355.77,355.65,355.75,512
1605197880,355.67,355.68,355.6,355.68,376
1605197940,355.79,355.82,355.66,355.67,439
1605198000,355.81,355.85,355.77,355.78,271
1605198060,355.79,355.8,355.69,355.8,568
1605198120,355.6,355.8,355.55,355.78,1253
1605198180,355.8,355.81,355.59,355.6,455
1605198240,355.71,355.8,355.68,355.8,371
1605198300,355.65,355.72,355.6,355.71,644
1605198360,355.61,355.68,355.57,355.65,298
1605198420,355.57,355.69,355.55,355.6,521
1605198480,355.55,355.61,355.44,355.57,946
1605198540,355.65,355.68,355.54,355.55,549
1605198600,355.55,355.69,355.51,355.65,532
1605198660,355.56,355.58,355.49,355.55,363
1605198720,355.45,355.67,355.4,355.57,736
1605198780,355.33,355.48,355.32,355.45,1073
1605198840,355.3,355.35,355.22,355.34,1811
1605198900,355.35,355.37,355.26,355.29,786
1605198960,355.42,355.44,355.32,355.34,733
1605199020,355.4,355.45,355.36,355.41,314
1605199080,355.27,355.38,355.22,355.38,715
1605199140,355.09,355.31,355.09,355.27,517
1605199200,354.81,355.09,354.81,355.09,1587
1605199260,354.93,354.93,354.76,354.82,1143
1605199320,354.79,354.94,354.72,354.94,835
1605199380,354.75,354.8,354.71,354.79,991
1605199440,354.74,354.8,354.71,354.75,902
1605199500,355.04,355.08,354.7,354.74,1283
1605199560,355.23,355.24,355.0,355.03,998
1605199620,355.06,355.22,355.05,355.22,673
1605199680,355.03,355.13,355.0,355.07,692
1605199740,354.98,355.06,354.97,355.01,581
1605199800,355.05,355.11,354.89,354.97,838
1605199860,355.08,355.13,354.98,355.04,510
1605199920,355.14,355.16,355.02,355.08,381
1605199980,355.32,355.37,355.15,355.15,843
1605200040,355.24,355.37,355.24,355.32,554
1605200100,355.19,355.31,355.18,355.25,401
1605200160,355.14,355.24,355.13,355.2,520
1605200220,355.25,355.3,355.15,355.15,669
1605200280,355.27,355.37,355.25,355.26,507
1605200340,355.25,355.33,355.24,355.27,480
1605200400,355.11,355.34,355.06,355.23,764
1605200460,355.04,355.23,355.02,355.12,569
1605200520,355.25,355.37,355.05,355.06,833
1605200580,355.23,355.3,355.16,355.27,500
1605200640,355.25,355.25,355.13,355.22,430
1605200700,355.25,355.35,355.22,355.25,364
1605200760,355.28,355.3,355.18,355.24,375
1605200820,355.39,355.4,355.25,355.26,390
1605200880,355.33,355.44,355.32,355.38,369
1605200940,355.33,355.37,355.27,355.33,314
1605201000,355.26,355.37,355.25,355.34,743
1605201060,355.29,355.36,355.19,355.26,1302
1605201120,355.24,355.31,355.2,355.27,395
1605201180,355.43,355.44,355.22,355.24,537
1605201240,355.53,355.64,355.39,355.43,840
1605201300,355.36,355.53,355.36,355.53,477
1605201360,355.31,355.4,355.31,355.38,514
1605201420,355.35,355.37,355.29,355.31,253
1605201480,355.32,355.43,355.29,355.35,327
1605201540,355.29,355.33,355.19,355.31,465
1605201600,355.43,355.49,355.3,355.3,484
1605201660,355.45,355.49,355.36,355.42,326
1605201720,355.46,355.5,355.39,355.44,365
1605201780,355.36,355.45,355.31,355.45,225
1605201840,355.15,355.37,355.12,355.35,515
1605201900,354.89,355.15,354.76,355.15,1035
1605201960,354.7,354.9,354.69,354.88,944
1605202020,354.53,354.74,354.35,354.71,2291
1605202080,354.43,354.58,354.38,354.52,1613
1605202140,354.27,354.51,354.23,354.43,1424
1605202200,354.41,354.46,354.23,354.26,590
1605202260,354.54,354.56,354.36,354.41,822
1605202320,354.56,354.66,354.53,354.54,582
1605202380,354.49,354.56,354.47,354.56,528
1605202440,354.49,354.55,354.46,354.5,687
1605202500,354.51,354.57,354.46,354.49,493
1605202560,354.53,354.59,354.48,354.51,417
1605202620,354.48,354.55,354.46,354.53,585
1605202680,354.47,354.54,354.42,354.49,515
1605202740,354.15,354.48,354.13,354.47,1275
1605202800,354.12,354.2,354.0,354.15,1258
1605202860,353.8,354.17,353.69,354.13,2361
1605202920,353.71,353.84,353.64,353.8,1138
1605202980,353.65,353.73,353.62,353.71,1527
